CPU,RAM(GB),GPU,vRAM(GB),Package,Target,Width (n),Depth,Shots,Probability n x |0>,Probability n x |1>,Time (s)
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.49985,0.50015,0.11429738998413086
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.499944,0.500056,0.10870170593261719
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.500012,0.499988,0.11987137794494629
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.499962,0.500038,0.11727309226989746
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.500966,0.499034,0.12039065361022949
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.501216,0.498784,0.11414289474487305
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.499601,0.500399,0.1100916862487793
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.500706,0.499294,0.10908365249633789
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.500435,0.499565,0.11997032165527344
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,2,2,1000000,0.499924,0.500076,0.11846017837524414
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.506,0.494,0.030070781707763672
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.479,0.521,0.012331485748291016
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.51,0.49,0.0265042781829834
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.496,0.504,0.03011775016784668
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.479,0.521,0.02335953712463379
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.484,0.516,0.01231694221496582
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.511,0.489,0.029731273651123047
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.478,0.522,0.011740446090698242
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.507,0.493,0.030446767807006836
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000,0.463,0.537,0.029436588287353516
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.4953,0.5047,0.03141188621520996
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.4985,0.5015,0.012970685958862305
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.5072,0.4928,0.03153872489929199
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.4939,0.5061,0.01311349868774414
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.4972,0.5028,0.021937847137451172
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.4982,0.5018,0.02768087387084961
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.4961,0.5039,0.030015230178833008
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.5041,0.4959,0.013163328170776367
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.4942,0.5058,0.013803720474243164
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,10000,0.5001,0.4999,0.02772355079650879
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.5002,0.4998,0.03468060493469238
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.50073,0.49927,0.040433645248413086
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.49792,0.50208,0.039136648178100586
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.49951,0.50049,0.03893899917602539
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.50291,0.49709,0.03835272789001465
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.49742,0.50258,0.040677785873413086
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.49995,0.50005,0.038297414779663086
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.49953,0.50047,0.027704477310180664
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.50251,0.49749,0.03900313377380371
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,100000,0.50223,0.49777,0.03921651840209961
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.499303,0.500697,0.11810660362243652
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.500094,0.499906,0.11484622955322266
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.500586,0.499414,0.12223219871520996
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.498711,0.501289,0.11101317405700684
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.500392,0.499608,0.11211609840393066
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.50023,0.49977,0.12656402587890625
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.4993,0.5007,0.12652969360351562
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.499234,0.500766,0.12712669372558594
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.500431,0.499569,0.12669014930725098
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,3,3,1000000,0.499554,0.500446,0.12048459053039551
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.503,0.497,0.03476285934448242
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.501,0.499,0.03689098358154297
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.521,0.479,0.0348355770111084
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.49,0.51,0.025478363037109375
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.502,0.498,0.012141704559326172
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.486,0.514,0.0368804931640625
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.514,0.486,0.036853790283203125
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.509,0.491,0.013010501861572266
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.499,0.501,0.020134925842285156
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000,0.495,0.505,0.012495040893554688
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.4956,0.5044,0.03965139389038086
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.4912,0.5088,0.03791189193725586
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.4996,0.5004,0.015914201736450195
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.5024,0.4976,0.03169703483581543
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.5006,0.4994,0.014243841171264648
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.5086,0.4914,0.035114288330078125
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.4982,0.5018,0.03665351867675781
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.504,0.496,0.03867006301879883
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.4886,0.5114,0.03807377815246582
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,10000,0.5009,0.4991,0.03858184814453125
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.50249,0.49751,0.042410850524902344
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.49763,0.50237,0.02208399772644043
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.4998,0.5002,0.027744293212890625
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.49947,0.50053,0.02601480484008789
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.50166,0.49834,0.030023813247680664
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.50094,0.49906,0.034423828125
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.49924,0.50076,0.021773338317871094
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.50195,0.49805,0.024892807006835938
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.50182,0.49818,0.028286218643188477
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,100000,0.49761,0.50239,0.0245511531829834
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.501062,0.498938,0.11214184761047363
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.49957,0.50043,0.12209391593933105
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.499331,0.500669,0.11414051055908203
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.500569,0.499431,0.1221613883972168
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.500042,0.499958,0.13856911659240723
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.50045,0.49955,0.1275629997253418
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.499999,0.500001,0.13866186141967773
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.500425,0.499575,0.12805938720703125
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.499165,0.500835,0.13742494583129883
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,4,4,1000000,0.499992,0.500008,0.1164391040802002
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.521,0.479,0.02690887451171875
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.47,0.53,0.03280830383300781
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.504,0.496,0.02194666862487793
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.516,0.484,0.012719869613647461
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.502,0.498,0.028540372848510742
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.523,0.477,0.013000249862670898
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.498,0.502,0.0221402645111084
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.499,0.501,0.04354548454284668
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.506,0.494,0.04813742637634277
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000,0.53,0.47,0.04287528991699219
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.4946,0.5054,0.014133214950561523
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.4938,0.5062,0.01580643653869629
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.4993,0.5007,0.04123950004577637
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.5034,0.4966,0.04020380973815918
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.4914,0.5086,0.014010429382324219
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.5016,0.4984,0.02230525016784668
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.5133,0.4867,0.04585123062133789
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.499,0.501,0.04644608497619629
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.4995,0.5005,0.04197263717651367
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,10000,0.5002,0.4998,0.013885498046875
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.49915,0.50085,0.023939847946166992
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.49898,0.50102,0.03078603744506836
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.50066,0.49934,0.04025411605834961
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.50176,0.49824,0.03704237937927246
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.50292,0.49708,0.05451655387878418
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.49877,0.50123,0.03437328338623047
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.50073,0.49927,0.02744436264038086
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.50158,0.49842,0.05389070510864258
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.50066,0.49934,0.031038522720336914
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,100000,0.49994,0.50006,0.03351235389709473
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000000,0.500592,0.499408,0.1168661117553711
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000000,0.49997,0.50003,0.14829182624816895
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,qpp-cpu,5,5,1000000,0.499486,0.500514,0.14386248588562012
